,^GSPC,^VIX,GS10,GS2,yield_slope,BAMLH0A0HYM2
2015-05-13,-0.00030495478248648844,-0.007214966109124976,0.13402061855670122,0.12962962962962954,1.5900000000000003,-0.010964912280701733
2015-05-14,0.010779286625573148,-0.07412793901141956,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.0022172949002217113
2015-05-15,0.0007684139066803652,-0.02825743038813644,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.006637168141592875
2015-05-18,0.003047948049283322,0.028271359011309283,0.13402061855670122,0.12962962962962954,1.5900000000000003,-0.01318681318681314
2015-05-19,-0.0006433745436266181,0.009426617717876118,0.13402061855670122,0.12962962962962954,1.5900000000000003,-0.006681514476614803
2015-05-20,-0.0009305162517933008,0.002334609500436402,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.0067264573991032695
2015-05-21,0.0023378744854138933,-0.05978264370513131,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.00445434298440972
2015-05-22,-0.002233886303356414,0.0016515655103792604,0.13402061855670122,0.12962962962962954,1.5900000000000003,-0.008869179600886956
2015-05-25,,,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.0
2015-05-26,-0.010281980197837881,0.15910966916464342,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.008948545861297452
2015-05-27,0.009162641262365545,-0.056187762324018786,0.13402061855670122,0.12962962962962954,1.5900000000000003,-0.006651884700665023
2015-05-28,-0.0012667608976734135,0.0030143150318902023,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.004464285714285587
2015-05-29,-0.0063184691730722164,0.0398196631301424,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.004444444444444251
2015-05-31,,,0.13402061855670122,0.12962962962962954,1.5900000000000003,0.013274336283185972
2015-06-01,0.002059461282371222,0.009393071749107529,0.07272727272727253,0.13114754098360648,1.67,-0.013100436681222849
2015-06-02,-0.0010085961899480855,0.019327093695666653,0.07272727272727253,0.13114754098360648,1.67,-0.006637168141592764
2015-06-03,0.0021188711112078984,-0.04073033237559609,0.07272727272727253,0.13114754098360648,1.67,-0.006681514476614803
2015-06-04,-0.008623167576889856,0.07686677909691086,0.07272727272727253,0.13114754098360648,1.67,0.022421524663676973
2015-06-05,-0.0014361829335245435,-0.03399048257670745,0.07272727272727253,0.13114754098360648,1.67,0.0
2015-06-08,-0.006474509789282434,0.07600280934600834,0.07272727272727253,0.13114754098360648,1.67,0.010964912280701844
2015-06-09,0.00041835300422188304,-0.05362980358862224,0.07272727272727253,0.13114754098360648,1.67,0.010845986984815648
2015-06-10,0.012042424827124476,-0.08638562383777126,0.07272727272727253,0.13114754098360648,1.67,-0.012875536480686844
2015-06-11,0.0017386264178671507,-0.027987887903593744,0.07272727272727253,0.13114754098360648,1.67,0.004347826086956719
2015-06-12,-0.0069942998817651425,0.07237348824071366,0.07272727272727253,0.13114754098360648,1.67,0.0021645021645020357
2015-06-15,-0.004622572493653387,0.11683604075109955,0.07272727272727253,0.13114754098360648,1.67,0.017278617710583255
2015-06-16,0.0056898566086796,-0.03768680381853917,0.07272727272727253,0.13114754098360648,1.67,0.01273885350318471
2015-06-17,0.0019796413026920145,-0.020931830576188637,0.07272727272727253,0.13114754098360648,1.67,-0.002096436058700135
2015-06-18,0.009902710578908236,-0.09034485652528956,0.07272727272727253,0.13114754098360648,1.67,-0.010504201680672232
2015-06-19,-0.0053035017498218595,0.058377595319172526,0.07272727272727253,0.13114754098360648,1.67,0.00424628450106157
