,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GLD,GME,GOOGL,HYG,JNJ,JPM,MSFT,NVDA,PG,XOM,GS10,GS2
2006-01-01,,,,,,,,,,,,,,,,,4.42,4.4
2006-01-03,2.2418313026428223,2.378999948501587,30.660295486450195,59.29999923706055,27.413328170776367,,53.119998931884766,2.7192907333374023,10.809966087341309,,34.50449752807617,23.754627227783203,18.715055465698242,0.2920117676258087,33.32000732421875,29.62283706665039,4.42,4.4
2006-01-04,2.2484290599823,2.362499952316284,30.334672927856445,59.34000015258789,27.33443832397461,,53.29999923706055,2.8152358531951904,11.058586120605469,,35.0363655090332,23.61752700805664,18.805707931518555,0.30018720030784607,33.382354736328125,29.673507690429688,4.42,4.4
2006-01-05,2.2307345867156982,2.382499933242798,30.373737335205078,59.20000076293945,27.00035858154297,,52.34000015258789,3.140103816986084,11.207611083984375,,34.89079666137695,23.68907356262207,18.81965446472168,0.30698642134666443,33.27465057373047,29.52657127380371,4.42,4.4
2006-01-06,2.288316249847412,2.3935000896453857,30.32817268371582,59.400001525878906,27.492197036743164,,53.720001220703125,3.241939067840576,11.565766334533691,,35.04756164550781,23.855981826782227,18.76386260986328,0.3120289742946625,33.24065017700195,30.109193801879883,4.42,4.4
2006-01-09,2.280817985534668,2.3540000915527344,30.347700119018555,59.58000183105469,27.352996826171875,,54.599998474121094,3.2259490489959717,11.596564292907715,,35.26590347290039,24.243425369262695,18.72900390625,0.3207389712333679,33.49006271362305,30.0939998626709,4.42,4.4
2006-01-10,2.4250757694244385,2.2825000286102295,30.093713760375977,59.400001525878906,27.487558364868164,,54.060001373291016,3.257089853286743,11.667597770690918,,35.32749557495117,24.27920913696289,18.826622009277344,0.32081589102745056,33.35969924926758,30.327056884765625,4.42,4.4
2006-01-11,2.516249418258667,2.246500015258789,30.02208137512207,59.279998779296875,27.765949249267578,,54.529998779296875,3.297487258911133,11.714044570922852,,34.99158477783203,24.261322021484375,19.028841018676758,0.33242857456207275,33.478736877441406,30.534788131713867,4.42,4.4
2006-01-12,2.527944326400757,2.2179999351501465,29.826702117919922,58.900001525878906,27.78916358947754,,54.43000030517578,3.2436234951019287,11.51534652709961,,34.82923126220703,23.814237594604492,18.924243927001953,0.3276922404766083,33.11027145385742,30.215606689453125,4.42,4.4
2006-01-13,2.5669333934783936,2.2200000286102295,29.826702117919922,59.040000915527344,28.007246017456055,,55.439998626708984,3.2267909049987793,11.580419540405273,,34.610862731933594,23.79635238647461,18.9591064453125,0.32478854060173035,33.388023376464844,30.889415740966797,4.42,4.4
2006-01-17,2.540541410446167,2.200000047683716,29.507583618164062,58.86000061035156,28.703248977661133,,55.2599983215332,3.220899820327759,11.601778984069824,,34.30854034423828,23.67118263244629,18.81965446472168,0.32455939054489136,33.24631118774414,31.178186416625977,4.42,4.4
2006-01-18,2.4739608764648438,2.2160000801086426,29.475032806396484,59.279998779296875,28.25780487060547,,54.06999969482422,3.203225612640381,11.05039119720459,,34.818023681640625,23.414857864379883,18.70808219909668,0.3262399733066559,33.41719055175781,30.74250030517578,4.42,4.4
2006-01-19,2.3704919815063477,2.2225000858306885,29.396883010864258,59.27000045776367,28.58260726928711,,55.59000015258789,3.2562477588653564,10.840265274047852,,34.80680847167969,23.28372573852539,18.840564727783203,0.3443475067615509,33.3260612487793,31.157934188842773,4.42,4.4
2006-01-20,2.282017946243286,2.196000099182129,28.778209686279297,58.84000015258789,28.359886169433594,,55.20000076293945,3.2082762718200684,9.921531677246094,,34.03981399536133,22.681650161743164,18.41521644592285,0.334720641374588,32.94443130493164,30.666494369506836,4.42,4.4
2006-01-23,2.3294050693511963,2.186500072479248,28.6284236907959,58.790000915527344,28.865659713745117,,55.77000045776367,3.206591844558716,10.617971420288086,,34.25817108154297,22.81279754638672,18.37338638305664,0.33663129806518555,32.83052444458008,31.005958557128906,4.42,4.4
2006-01-24,2.2805185317993164,2.2009999752044678,28.810771942138672,58.959999084472656,28.791412353515625,,55.72999954223633,3.206591844558716,11.00369644165039,,33.233604431152344,22.717418670654297,18.3245792388916,0.33831191062927246,32.96152877807617,30.88435173034668,4.42,4.4
2006-01-25,2.2253353595733643,2.180000066757202,29.06475257873535,59.29999923706055,28.424846649169922,,56.13999938964844,3.2242658138275146,10.754578590393066,,32.752132415771484,22.93798065185547,18.40826416015625,0.3353321850299835,33.303279876708984,30.504379272460938,4.42,4.4
2006-01-26,2.169252634048462,2.2339999675750732,29.240591049194336,58.81999969482422,27.942277908325195,,55.880001068115234,3.258772611618042,10.786120414733887,,32.83049011230469,23.59964370727539,18.477994918823242,0.346792608499527,33.50263214111328,30.372652053833008,4.42,4.4
2006-01-27,2.160254716873169,2.260999917984009,29.17546272277832,58.7599983215332,28.01652717590332,,55.630001068115234,3.2941207885742188,10.766746520996094,,32.86970138549805,23.695022583007812,19.377477645874023,0.35336363315582275,34.026649475097656,31.051544189453125,4.42,4.4
2006-01-30,2.2493278980255127,2.247999906539917,28.967065811157227,58.560001373291016,28.188209533691406,,56.68000030517578,3.328627347946167,10.601082801818848,,32.696136474609375,23.754638671875,19.52389907836914,0.3493899405002594,33.684898376464844,31.973621368408203,4.42,4.4
2006-01-31,2.2646241188049316,2.240999937057495,28.804264068603516,58.63999938964844,27.552520751953125,,56.70000076293945,3.3925909996032715,10.746131896972656,,32.21464538574219,23.695022583007812,19.628496170043945,0.34350764751434326,33.73615646362305,31.791221618652344,4.42,4.4
