Asset,Volatility CALM,Volatility CRISIS,Ratio (Crisis/Calm),% Change
GS2,0.010278694279820816,0.03979908258296972,3.871997891901842,287.1997891901842
GS10,0.007128824777772442,0.022320813739068367,3.1310649980715333,213.10649980715328
HYG,0.003482533645949579,0.009775870361019416,2.807114404304295,180.7114404304295
BAC,0.016639550950347366,0.04159237235776516,2.4996090628814045,149.96090628814042
JPM,0.01339131495493793,0.03263253346126726,2.436843101000645,143.6843101000645
BRK-B,0.008886889838379425,0.018178000924086824,2.045485119617696,104.54851196176958
CVX,0.012058008157494473,0.024054319067965884,1.9948832969577388,99.48832969577388
XOM,0.01152300302616301,0.02227979953340507,1.9335063509762798,93.35063509762797
GME,0.0422217158016877,0.07171882215839305,1.6986240562854218,69.86240562854216
PG,0.008954430930817847,0.014448053600125282,1.613508855197086,61.3508855197086
MSFT,0.013679583452646532,0.02161999379891402,1.580457027346932,58.04570273469321
JNJ,0.00867965579190191,0.013599205480871263,1.566790873614974,56.6790873614974
AAPL,0.016142605825089612,0.024419397792810483,1.5127296086767283,51.27296086767282
AMZN,0.02002270158319416,0.02852273594029401,1.4245198542155901,42.45198542155901
GOOGL,0.01591227396570141,0.02228863529357205,1.4007196797651147,40.07196797651147
NVDA,0.02683415981750288,0.03616005694165829,1.3475382567436482,34.75382567436483
GLD,0.0101000071916022,0.013113939901097861,1.2984089666789187,29.840896667891876
ENPH,0.04699637051064542,0.05663737361703417,1.2051435675060251,20.51435675060251
