Asset,Regime,Mean (%),Volatility (%),Skewness,Kurtosis,VaR 99%,CVaR 99%,Min Return,Max Return
GLD,CALM,0.039605915351251776,1.01000071916022,-0.7185123860885964,7.452325627826291,-0.027145961363545246,-0.040245570117379725,-0.10274245274560045,0.06358720612372104
GLD,CRISIS,0.038350926819141914,1.3113939901097862,-0.03074078670340887,6.040577450639191,-0.03649347478693177,-0.048324630499866995,-0.0878082643808128,0.11290530102327678
HYG,CALM,0.04088478460333757,0.34825336459495787,0.12264350770693454,4.0321980725380495,-0.00901134106634795,-0.011843465597805133,-0.0245073083540166,0.019116512150266107
HYG,CRISIS,-0.0020588274015957914,0.9775870361019416,0.6905615747452494,23.924844055390682,-0.029921671170596246,-0.045564487687549574,-0.08097414603686448,0.12268758858509554
