Asset,Regime,Mean Return,Volatility,Skewness,Kurtosis,N Obs
AAPL,CALM,0.0020550695914838845,0.016142605825089612,0.25036403255969114,4.425184470859249,2911
AAPL,CRISIS,-0.0002835767662167244,0.024419397792810483,-0.017519167991801195,5.06786455581395,2001
AMZN,CALM,0.0020049334433884427,0.02002270158319416,1.4563571341366661,29.827609297416245,2911
AMZN,CRISIS,-0.00017780266353918778,0.02852273594029401,0.6884417744259778,6.842738643165919,2001
BAC,CALM,0.001405850364648287,0.016639550950347366,1.2565716878786644,20.13046502372172,2911
BAC,CRISIS,-0.0009069136089406319,0.04159237235776516,0.7380084509047066,14.537656119468405,2001
BRK-B,CALM,0.0008647933044549539,0.008886889838379425,0.2767358221274826,3.0113046040026,2911
BRK-B,CRISIS,-2.673799486940393e-05,0.018178000924086824,0.7556738156635148,11.616848506206061,2001
CVX,CALM,0.0009095883103125836,0.012058008157494473,-0.06374969114761647,2.205268843690604,2911
CVX,CRISIS,-0.00015047575606081943,0.024054319067965884,0.14847079985398584,14.962800813500813,2001
ENPH,CALM,0.0019385137700728043,0.04699637051064542,0.5291151447564496,8.697137753442629,2171
ENPH,CRISIS,0.0014677467785626887,0.05663737361703417,0.6424031871844902,7.721410903624401,1225
GLD,CALM,0.00039605915351251773,0.0101000071916022,-0.7185123860885964,7.452325627826291,2911
GLD,CRISIS,0.00038350926819141914,0.013113939901097861,-0.03074078670340887,6.040577450639191,2001
GME,CALM,0.0016474346985291617,0.0422217158016877,3.4976214059908224,62.47264960502609,2911
GME,CRISIS,0.0017164556007601666,0.07171882215839305,6.651453167604794,110.86480839066833,2001
GOOGL,CALM,0.0016729597165030768,0.01591227396570141,0.38059529135493997,9.876539501226988,2911
GOOGL,CRISIS,-0.0004562675170540554,0.02228863529357205,0.644021513572505,7.447443162564378,2001
GS10,CALM,0.00019380328773646623,0.007128824777772442,3.3239353158139737,106.69705894719546,2951
GS10,CRISIS,7.311599905670142e-05,0.022320813739068367,0.7326413416732401,83.98682894544079,2030
GS2,CALM,0.0004796946339754851,0.010278694279820816,5.1976736331181,93.42920553229399,2951
GS2,CRISIS,0.0005263073607550419,0.03979908258296972,2.4941280649216133,84.30514605329205,2030
HYG,CALM,0.0004088478460333757,0.003482533645949579,0.12264350770693454,4.0321980725380495,2623
HYG,CRISIS,-2.0588274015957914e-05,0.009775870361019416,0.6905615747452494,23.924844055390682,1998
JNJ,CALM,0.0006762145318261956,0.00867965579190191,-0.1577826010379221,6.65872784116285,2911
JNJ,CRISIS,0.0001108017070847037,0.013599205480871263,0.30745657988848707,9.883733751032999,2001
JPM,CALM,0.00154131355324977,0.01339131495493793,0.8476131584400823,12.451123700967038,2911
JPM,CRISIS,-0.00047987962034213633,0.03263253346126726,0.8387010208105774,10.39914443289937,2001
MSFT,CALM,0.0014390024930952155,0.013679583452646532,-0.17324409906518365,10.977359221897187,2911
MSFT,CRISIS,-0.00035745399803109877,0.02161999379891402,0.40893109175834164,6.968248709150288,2001
NVDA,CALM,0.0030480266109873936,0.02683415981750288,0.08546511574708601,12.797003086921,2911
NVDA,CRISIS,-0.00022550841696093474,0.03616005694165829,0.3156419132051902,4.396140437971079,2001
PG,CALM,0.00053907366302621,0.008954430930817847,0.11800640098382048,6.791201232767444,2911
PG,CRISIS,9.07205070164217e-05,0.014448053600125282,0.05236977631225363,7.921269759413924,2001
XOM,CALM,0.0008109171714142869,0.01152300302616301,-0.0023122934330248347,1.0499142312044087,2911
XOM,CRISIS,-0.00025580316420414196,0.02227979953340507,0.2663128553289396,7.120719544375991,2001
