Date,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GLD,GME,GOOGL,HYG,JNJ,JPM,MSFT,NVDA,PG,XOM
2006-01-03,2.2397351264953613,2.378999948501587,30.660293579101562,59.29999923706055,27.41332244873047,,53.119998931884766,2.7192914485931396,10.809965133666992,,34.50449752807617,23.75462532043457,18.71505355834961,0.2920118570327759,33.32001876831055,29.426698684692383
2006-01-04,2.246326208114624,2.362499952316284,30.334672927856445,59.34000015258789,27.334436416625977,,53.29999923706055,2.815236806869507,11.058587074279785,,35.03636169433594,23.617525100708008,18.805694580078125,0.3001870810985565,33.382354736328125,29.477027893066406
2006-01-05,2.2286500930786133,2.382499933242798,30.373743057250977,59.20000076293945,27.000364303588867,,52.34000015258789,3.140103340148926,11.207610130310059,,34.89080047607422,23.689067840576172,18.819652557373047,0.3069865107536316,33.27466583251953,29.33107566833496
2006-01-06,2.286176919937134,2.3935000896453857,30.328136444091797,59.400001525878906,27.49220848083496,,53.720001220703125,3.2419397830963135,11.565765380859375,,35.04758071899414,23.855966567993164,18.763864517211914,0.3120289444923401,33.24064636230469,29.909849166870117
2006-01-09,2.2786865234375,2.3540000915527344,30.34769058227539,59.58000183105469,27.352994918823242,,54.599998474121094,3.225949287414551,11.596562385559082,,35.26593017578125,24.243440628051758,18.729001998901367,0.3207389712333679,33.490074157714844,29.894752502441406
2006-01-10,2.422809362411499,2.2825000286102295,30.093706130981445,59.400001525878906,27.487558364868164,,54.060001373291016,3.257089138031006,11.66759967803955,,35.32749938964844,24.279211044311523,18.826616287231445,0.3208160102367401,33.35969161987305,30.12626838684082
2006-01-11,2.5138964653015137,2.246500015258789,30.022071838378906,59.279998779296875,27.765953063964844,,54.529998779296875,3.2974870204925537,11.714045524597168,,34.99158477783203,24.261316299438477,19.028839111328125,0.33242860436439514,33.47872543334961,30.332618713378906
2006-01-12,2.5255818367004395,2.2179999351501465,29.826684951782227,58.900001525878906,27.789169311523438,,54.43000030517578,3.243623733520508,11.51534366607666,,34.829219818115234,23.814247131347656,18.92424964904785,0.32769230008125305,33.11027526855469,30.015533447265625
2006-01-13,2.5645337104797363,2.2200000286102295,29.826684951782227,59.040000915527344,28.007238388061523,,55.439998626708984,3.2267911434173584,11.58042049407959,,34.610870361328125,23.796356201171875,18.959102630615234,0.32478854060173035,33.38802719116211,30.68488311767578
2006-01-17,2.538165807723999,2.200000047683716,29.507604598999023,58.86000061035156,28.70323944091797,,55.2599983215332,3.2208995819091797,11.601778984069824,,34.30854415893555,23.671180725097656,18.819652557373047,0.32455945014953613,33.246315002441406,30.97174835205078
2006-01-18,2.4716477394104004,2.2160000801086426,29.475027084350586,59.279998779296875,28.257802963256836,,54.06999969482422,3.203225612640381,11.05039119720459,,34.818016052246094,23.414854049682617,18.70808982849121,0.3262399435043335,33.417198181152344,30.538942337036133
2006-01-19,2.3682758808135986,2.2225000858306885,29.396883010864258,59.27000045776367,28.582612991333008,,55.59000015258789,3.2562477588653564,10.840265274047852,,34.80682373046875,23.28371238708496,18.840566635131836,0.34434738755226135,33.326053619384766,30.951637268066406
2006-01-20,2.2798848152160645,2.196000099182129,28.778202056884766,58.84000015258789,28.359886169433594,,55.20000076293945,3.2082746028900146,9.921531677246094,,34.03981399536133,22.68164825439453,18.41522789001465,0.3347207307815552,32.94445037841797,30.463430404663086
2006-01-23,2.327227830886841,2.186500072479248,28.628419876098633,58.790000915527344,28.86564826965332,,55.77000045776367,3.206591844558716,10.61797046661377,,34.258155822753906,22.812789916992188,18.373384475708008,0.3366314172744751,32.83052444458008,30.800643920898438
2006-01-24,2.2783865928649902,2.2009999752044678,28.810787200927734,58.959999084472656,28.791410446166992,,55.72999954223633,3.206591844558716,11.003695487976074,,33.233612060546875,22.717424392700195,18.32457733154297,0.3383118808269501,32.961524963378906,30.67985725402832
2006-01-25,2.2232556343078613,2.180000066757202,29.064767837524414,59.29999923706055,28.424840927124023,,56.13999938964844,3.2242660522460938,10.754578590393066,,32.75212097167969,22.937965393066406,18.40825843811035,0.3353321850299835,33.30326843261719,30.302398681640625
2006-01-26,2.1672239303588867,2.2339999675750732,29.24058723449707,58.81999969482422,27.94229507446289,,55.880001068115234,3.258772373199463,10.786120414733887,,32.83050537109375,23.599645614624023,18.477989196777344,0.3467925488948822,33.50263214111328,30.171539306640625
2006-01-27,2.1582348346710205,2.260999917984009,29.175466537475586,58.7599983215332,28.016521453857422,,55.630001068115234,3.2941205501556396,10.76674747467041,,32.86970138549805,23.69502067565918,19.37748146057129,0.35336363315582275,34.026641845703125,30.845947265625
2006-01-30,2.2472245693206787,2.247999906539917,28.967065811157227,58.560001373291016,28.18819236755371,,56.68000030517578,3.328627347946167,10.601083755493164,,32.69611740112305,23.754627227783203,19.523902893066406,0.34939005970954895,33.68488693237305,31.761899948120117
2006-01-31,2.262507200241089,2.240999937057495,28.804256439208984,58.63999938964844,27.552520751953125,,56.70000076293945,3.3925907611846924,10.746132850646973,,32.21464538574219,23.69502067565918,19.628501892089844,0.34350764751434326,33.73615264892578,31.58073616027832
2006-02-01,2.259810209274292,2.1989998817443848,28.62190818786621,58.29999923706055,27.237001419067383,,56.70000076293945,3.5508158206939697,9.979154586791992,,32.39382553100586,23.77251625061035,19.55179786682129,0.34373676776885986,34.07218933105469,31.17810821533203
2006-02-02,2.1603329181671143,2.13700008392334,28.289762496948242,58.13999938964844,27.148845672607422,,56.97999954223633,3.5398752689361572,9.836586952209473,,32.276241302490234,23.838088989257812,19.300783157348633,0.33326926827430725,33.97537612915039,31.17810821533203
